"","timestamp","status","userid"
"1","-05-30 09:08:37.678","False",101
"2","-06-04 17:22:23.866","True",82
"3","-05-29 18:48:35.842","False",101
"4","-05-21 16:09:10.547","True",28
"5","-05-10 00:30:38.562","False",101
"6","-05-25 13:43:34.476","False",82
"7","-05-14 09:21:09.184","False",82
"8","-05-24 05:49:45.186","False",101
"9","-05-23 20:28:45.722","False",101
"10","-06-06 13:01:41.539","False",28
"11","-05-25 12:53:42.902","False",28
"12","-05-26 12:09:30.802","True",28
"13","-05-31 08:35:17.443","False",28
"14","-05-30 17:24:45.981","False",82
"15","-06-07 03:48:38.873","False",4
"16","-05-10 19:45:15.536","True",82
"17","-05-12 21:58:11.075","False",4
"18","-05-29 16:02:35.847","True",28
"19","-05-19 01:29:13.371","True",86
"20","-05-29 17:11:30.922","True",82
"21","-05-31 22:40:20.443","False",28
"22","-05-28 13:56:33.334","False",4
"23","-06-07 04:57:32.836","False",28
"24","-05-20 16:35:33.686","True",28
"25","-06-05 08:58:44.448","False",82
"26","-05-23 05:02:47.582","False",28
"27","-05-19 21:50:19.448","False",4
"28","-06-03 03:29:14.717","False",4
"29","-06-05 09:42:29.522","False",82
"30","-05-17 08:57:04.631","False",82
"31","-05-10 19:45:13.891","False",82
"32","-06-05 09:13:33.794","False",82
"33","-05-26 11:25:48.044","True",82
"34","-05-24 13:51:16.792","False",4
"35","-05-24 09:16:16.765","False",4
"36","-06-06 15:21:39.474","False",28
"37","-06-04 15:00:42.660","False",4
"38","-05-21 00:05:38.717","False",4
"39","-05-22 22:42:00.574","False",28
"40","-05-23 19:34:24.114","False",82
"41","-06-07 14:04:50.317","False",101
"42","-05-24 08:30:08.862","True",82
"43","-06-03 20:33:37.412","True",82
"44","-05-15 14:45:40.453","False",4
"45","-05-25 09:52:44.842","True",82
"46","-05-13 17:40:40.762","False",4
"47","-05-21 08:58:24.071","False",28
"48","-05-17 17:15:38.618","False",28
"49","-05-27 18:46:11.723","True",82
"50","-05-30 18:48:43.294","False",101
